#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2017-12-11 14:18:09.797

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,-1.0940398598650476,-7.0642272950675276,-39.77944074497875
11.233240329780266,-1.0927998492016839,-7.3537459591384255,-44.126603934487648
12.618568830660211,-1.0937719631196909,-7.712126793184563,-48.762350886691856
14.174741629268048,-1.0957955053157777,-8.1514667261783806,-53.651462632830906
15.922827933410938,-1.0976605078251556,-8.6281193912102143,-58.762517856144306
17.886495290574352,-1.0976930184899842,-9.18297597560551,-64.0535494746604
20.092330025650458,-1.0969843158717842,-9.8151732322144056,-69.512889960832908
22.570197196339215,-1.0953136372994949,-10.514680344397643,-75.104871210931691
25.353644939701113,-1.0933685247404403,-11.266811087950197,-80.762153016501827
28.480358684358048,-1.0960191655498812,-12.126297624058404,-86.538023429957349
31.992671377973846,-1.1007612794296131,-13.095207097840305,-92.38657973225304
35.938136638046252,-1.0984116250702518,-14.037285129950474,-98.355915107084812
40.370172585965584,-1.0978708081614377,-15.055258842060592,-104.50562554648562
45.348785081285826,-1.097033991230828,-16.131755850852386,-110.94672030296081
50.941380148163859,-1.0949815204623428,-17.206103994230475,-117.77461464658077
57.223676593502205,-1.0962262535164677,-18.310873626586922,-125.31935966487552
64.28073117284319,-1.0964553243019564,-19.362292954782365,-133.68459654449384
72.208090183854566,-1.0960346580426001,-20.323479557722607,-143.17661186290633
81.113083078968714,-1.095060193023718,-21.124360905601822,-153.90286167996021
91.116275611548872,-1.0975758684169887,-21.652266874184139,-165.68994528139876
102.35310218990257,-1.0976081343510149,-21.813109229742174,-177.94310934182471
114.97569953977356,-1.0956512713000164,-21.557216269490553,170.03710430739554
129.15496650148842,-1.0955460201470637,-20.959384704473965,158.72356186704889
145.08287784959387,-1.0938724243455187,-20.068311963003104,148.64424280690918
162.97508346206433,-1.0946938327356577,-19.021926184045132,139.41764245949568
183.07382802953697,-1.0958652352930636,-17.844004164003945,130.95497018863273
205.65123083486515,-1.0956795812244746,-16.612597845632198,123.0680007692407
231.01297000831582,-1.0888996865269647,-15.366721958015308,115.55481371403135
259.50242113997376,-1.0959713989383886,-14.201811462618936,108.29170585311141
291.50530628251761,-1.0968316740969859,-13.074667604644345,101.15837822124575
327.45491628777251,-1.0967620893836318,-12.015762899812508,94.182282825789841
367.83797718286343,-1.0962166157311617,-11.082558654621435,87.28027406210272
413.20124001153425,-1.0975543743486731,-10.23078197204784,80.549872061491371
464.15888336127722,-1.0961124625817724,-9.4480073925585035,73.99237023351111
521.40082879996839,-1.0975999426301333,-8.8049915491212136,67.711395173296594
585.70208180566726,-1.0969469875536162,-8.2380881425194321,61.712575521032932
657.93322465756819,-1.0943425713572639,-7.7604756906949968,56.028296225040762
739.0722033525775,-1.0957218540403566,-7.3909712103858096,50.709849857589106
830.21756813197521,-1.099143037758175,-7.0229538578796085,45.755706083813195
932.60334688321996,-1.0993973872993326,-6.7675508425767177,41.168519790581001
1047.6157527896642,-1.1021919845862669,-6.5187052037103559,36.951817009073999
1176.8119524349993,-1.1023049141889492,-6.3693353648755089,33.079800021833023
1321.9411484660302,-1.1036937028773532,-6.194347553373321,29.546103662941555
1484.9682622544651,-1.0995813331269315,-6.0474406161119028,26.336157567971469
1668.1005372000593,-1.1066324114184818,-5.9589432525714354,23.411427921315607
1873.817422860385,-1.1097857111508416,-5.8938575053589295,20.771002040295713
2104.9041445120197,-1.1134769674899168,-5.8293657668679133,18.359886641233857
2364.4894126454069,-1.1127859438969003,-5.8160777105770745,16.178092500630513
2656.0877829466867,-1.1163764816370785,-5.7474730590451193,14.204721988601332
2983.6472402833406,-1.1179973940629102,-5.7471091402405996,12.389374000675446
3351.6026509388444,-1.1202194547137485,-5.7278176432286259,10.735377897567684
3764.9358067924677,-1.1218430485203756,-5.6886280443236821,9.2291519934471467
4229.2428743894989,-1.1226362312696594,-5.7053018450012605,7.8343725549765679
4750.8101621027981,-1.1263435488507103,-5.6807135175199424,6.5578215041396426
5336.6992312063066,-1.1242543737498716,-5.7043630030803625,5.3581242224471453
5994.8425031894085,-1.1270314867213262,-5.7012779045876103,4.2600878213943361
6734.1506577508208,-1.1353345232621472,-5.7140621727474681,3.2079085065954303
7564.6332755462909,-1.1188612722082492,-5.6917557191938037,2.233137822028624
8497.5343590864395,-1.1269059152048939,-5.7162037454463785,1.2771305378443714
9545.4845666183373,-1.1273277163450881,-5.707958361785181,0.36158259823026384
10722.672220103232,-1.1133917094783532,-5.6959047249341035,-0.58019275259076153
12045.035402587819,-1.1059535375317486,-5.7001041458050583,-1.604462035724282
13530.477745798074,-1.1099167457628003,-5.7110345633880097,-2.6305049397636822
15199.110829529331,-1.0983284864660567,-5.7311339336575537,-3.7149542131744795
17073.526474706923,-1.0974531544007617,-5.7487386247170003,-4.8995172283535595
19179.102616724886,-1.0933919920557242,-5.7748918551577386,-6.1437223695515968
21544.346900318822,-1.0927625978779507,-5.817867192392062,-7.4880282797618563
24201.282647943834,-1.0864177625120255,-5.8727691558880863,-8.9560059224213298
27185.882427329401,-1.0843997373097864,-5.9381317467887618,-10.604212078042572
30538.555088334171,-1.1001679532333943,-6.0487069963079847,-12.429604692862
34304.69286314919,-1.0831612765390737,-6.1402380904746767,-14.478283161792646
38535.285937105269,-1.0780002575536594,-6.2858202348013714,-16.799121337712904
43287.612810830593,-1.0725260397638345,-6.4612820224941743,-19.444570057589502
48626.015800653528,-1.0658823435234652,-6.7022456800322994,-22.500838872233139
54622.772176843428,-1.0662071228321839,-7.0008616356581168,-25.970744840208056
61359.072734131725,-1.0549830391060058,-7.3885664254080581,-29.995432226987035
68926.121043496954,-1.0435647478647549,-7.8684888786372724,-34.634974955499899
77426.368268112696,-1.0534780137023549,-8.5201771627183138,-40.008058483376644
86974.900261778297,-1.0569021456575911,-9.3527815931071423,-46.08255486039414
97700.995729922564,-1.045833949573403,-10.405470148895938,-52.95270297698255
