#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2017-12-11 14:26:27.509

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,-0.93053381674436231,-14.920653117677427,65.563261793948527
11.233240329780266,-0.93083295990571058,-14.003752896661465,62.881146326253464
12.618568830660211,-0.9258442531310368,-13.167039653311017,59.696997079245961
14.174741629268048,-0.92991807661342674,-12.354153681406405,56.530706051029824
15.922827933410938,-0.94136436138827617,-11.595816816676145,52.943861612861284
17.886495290574352,-0.94826060971243742,-10.883193508289246,49.13917968432331
20.092330025650458,-0.95300717425541515,-10.199725760455857,45.0600843736269
22.570197196339215,-0.95179817374031161,-9.601851002768143,40.723438582262204
25.353644939701113,-0.9539941719782894,-8.9708847890836534,36.023379347613457
28.480358684358048,-0.95337982970075941,-8.4508792897672507,31.149670593759534
31.992671377973846,-0.94308437948715462,-7.9330971013621729,26.040802885380614
35.938136638046252,-0.945035655905891,-7.5648968963725673,20.719091456776624
40.370172585965584,-0.94564630678178341,-7.1988148943710728,15.183469357079595
45.348785081285826,-0.944876521951034,-6.9249837274555492,9.4393955124505169
50.941380148163859,-0.94263947105479418,-6.6705017410212673,3.4692790589747204
57.223676593502205,-0.93748857226332261,-6.5280537505914795,-2.6128557785002329
64.28073117284319,-0.93607418663145492,-6.4809651973071345,-8.1936148597499709
72.208090183854566,-0.93664652720695707,-6.4090448503124433,-15.416915599945185
81.113083078968714,-0.92538422538055265,-6.3993076864380614,-22.195629207958717
91.116275611548872,-0.92573257602922998,-6.5060396386953272,-29.256710434944111
102.35310218990257,-0.92998894359071493,-6.7023909464560329,-36.628485845800803
114.97569953977356,-0.91805649305673465,-6.9148515333085916,-44.281321016689887
129.15496650148842,-0.93153718883710146,-7.2867006402747849,-52.260681112693419
145.08287784959387,-0.92455514125928295,-7.6608632782816617,-60.520494251686593
162.97508346206433,-0.92487539057828705,-8.1739489400138492,-69.10067108089703
183.07382802953697,-0.92046218499366894,-8.7735118456983887,-77.941446668950334
205.65123083486515,-0.92558067894555462,-9.5354474305768662,-86.988304200988225
231.01297000831582,-0.92739824794391024,-10.37675162779907,-96.191289109366721
259.50242113997376,-0.92524502536158204,-11.325060461000975,-105.52833964364407
291.50530628251761,-0.9220578346867726,-12.394644331031087,-114.91377961160859
327.45491628777251,-0.92354517623155619,-13.583246243971839,-124.34400146301522
367.83797718286343,-0.91866846598054974,-14.849005436416141,-133.73912990100081
413.20124001153425,-0.91535047906236289,-16.222296790063098,-143.04809508028711
464.15888336127722,-0.91338442993454794,-17.755526765405431,-152.27362985233765
521.40082879996839,-0.91916439630071733,-19.454930484990193,-161.23979272692725
585.70208180566726,-0.9213744730060982,-21.215310076303769,-170.04761771410952
657.93322465756819,-0.92149205426805847,-23.035051389654289,-178.70182634591342
739.0722033525775,-0.91349562141909368,-24.923261384423419,172.8931730100916
830.21756813197521,-0.91687458552799561,-26.900703586777702,164.79958477100868
932.60334688321996,-0.91283039939424482,-28.894323544809946,157.03100440688772
1047.6157527896642,-0.91726039484027966,-31.092043595048978,149.45157855255042
1176.8119524349993,-0.92078780995038845,-33.399093765095714,142.24629882481719
1321.9411484660302,-0.92074330073300459,-35.812480847102279,135.4628314871438
1484.9682622544651,-0.9241729549265838,-38.478640146576254,129.11924332695156
1668.1005372000593,-0.92205359201946047,-41.1672172121758,122.35739229325755
1873.817422860385,-0.92308760513155075,-43.920626637441977,115.89517528310598
2104.9041445120197,-0.92223662986910582,-46.842376817002254,108.37884017256809
2364.4894126454069,-0.92189260944431006,-49.632327057082286,99.999484271193779
2656.0877829466867,-0.92170957030994183,-52.615034242385477,89.303992873412426
2983.6472402833406,-0.91086780279180668,-55.397527287453336,78.592193698215112
3351.6026509388444,-0.91142608300814643,-56.992257859786733,62.636677718563419
3764.9358067924677,-0.9132745550616318,-58.194246158830879,48.338537102999808
4229.2428743894989,-0.90682718518874106,-58.922060989728067,35.721827216229258
4750.8101621027981,-0.90767710513601152,-59.173165932488686,32.81518284215467
5336.6992312063066,-0.90245054859076068,-59.720559056861326,20.720035388275448
5994.8425031894085,-0.9058366660495244,-59.047673569848953,12.252549830142879
6734.1506577508208,-0.91967216134679686,-58.663679089822061,8.6106733930223172
7564.6332755462909,-0.90996234250446628,-58.427879072533557,6.4495218429700572
8497.5343590864395,-0.91079674370541641,-58.861194541650974,0.39718849028354697
9545.4845666183373,-0.91766816491295644,-59.662149566425491,2.2348858606257522
10722.672220103232,-0.91094531134278767,-59.846823298630774,3.2013560492096076
12045.035402587819,-0.90983842704263684,-59.810262743180083,-1.4031885373165665
