#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321A188CC,,
#Date Time: 2017-09-15 13:38:37.634,,
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s,,
#Channel 1: Range: 1.5 V/div Offset: 1 V,,
#Channel 2: Range: 1.5 V/div Offset: 1 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-600,0.542740175,0.544064865
-599.85,2.627627484,2.629672302
-599.7,2.631330658,2.629672302
-599.55,2.627627484,2.629672302
-599.4,2.627627484,2.629672302
-599.25,2.627627484,2.629672302
-599.1,2.631330658,2.629672302
-598.95,2.627627484,2.629672302
-598.8,2.631330658,2.629672302
-598.65,2.631330658,2.629672302
-598.5,2.631330658,2.629672302
-598.35,2.627627484,2.629672302
-598.2,2.631330658,2.629672302
-598.05,2.631330658,2.629672302
-597.9,2.627627484,2.625961257
-597.75,2.627627484,2.625961257
-597.6,2.627627484,2.625961257
-597.45,2.623924309,2.625961257
-597.3,2.623924309,2.622250211
-597.15,2.620221134,2.622250211
-597,2.623924309,2.622250211
-596.85,2.620221134,2.622250211
-596.7,2.612814785,2.622250211
-596.55,2.60911161,2.622250211
-596.4,2.605408436,2.622250211
-596.25,2.605408436,2.622250211
-596.1,2.598002087,2.618539166
-595.95,2.553563991,2.618539166
-595.8,2.468390975,2.592561849
-595.65,2.383217959,2.488652582
-595.5,2.301748117,2.366188088
-595.35,2.2313878,2.25485673
-595.2,2.168433831,2.158369554
-595.05,2.109183037,2.073015513
-594.9,2.053635418,2.002505653
-594.75,1.994384624,1.935706838
-594.6,1.93513383,1.876330114
-594.45,1.879586211,1.81695339
-594.3,1.827741766,1.757576666
-594.15,1.775897322,1.701910987
-594,1.724052877,1.649956353
-593.85,1.679614782,1.60542381
-593.7,1.638879861,1.564602312
-593.55,1.601848115,1.523780814
-593.4,1.564816369,1.482959316
-593.25,1.535190972,1.442137818
-593.1,1.5018624,1.405027366
-592.95,1.472237003,1.371627958
-592.8,1.442611606,1.341939596
-592.65,1.412986209,1.312251234
-592.5,1.383360812,1.282562872
-592.35,1.35743859,1.256585555
-592.2,1.331516368,1.234319284
-592.05,1.30929732,1.212053012
-591.9,1.287078272,1.193497786
-591.75,1.268562399,1.178653605
-591.6,1.250046526,1.160098378
-591.45,1.231530653,1.145254197
-591.3,1.216717955,1.130410016
-591.15,1.201905256,1.119276881
-591,1.187092558,1.1044327
-590.85,1.175983034,1.093299564
-590.7,1.16487351,1.082166428
-590.55,1.153763986,1.071033292
-590.4,1.142654462,1.063611202
-590.25,1.131544939,1.052478066
-590.1,1.120435415,1.045055975
-589.95,1.109325891,1.03392284
-589.8,1.101919542,1.026500749
-589.65,1.090810018,1.022789704
-589.5,1.083403669,1.015367613
-589.35,1.075997319,1.007945523
-589.2,1.06859097,1.000523432
-589.05,1.061184621,0.996812387
-588.9,1.053778272,0.989390296
-588.75,1.046371922,0.985679251
-588.6,1.038965573,0.978257161
-588.45,1.031559224,0.974546115
-588.3,1.024152875,0.97083507
-588.15,1.0204497,0.967124025
-588,1.013043351,0.959701934
-587.85,1.009340176,0.955990889
-587.7,1.001933827,0.955990889
-587.55,0.998230652,0.952279844
-587.4,0.994527478,0.948568799
-587.25,0.990824303,0.944857753
-587.1,0.987121128,0.941146708
-586.95,0.983417954,0.937435663
-586.8,0.979714779,0.937435663
-586.65,0.976011605,0.933724618
-586.5,0.97230843,0.930013572
-586.35,0.968605255,0.926302527
-586.2,0.964902081,0.926302527
-586.05,0.961198906,0.922591482
-585.9,0.957495732,0.922591482
-585.75,0.953792557,0.918880437
-585.6,0.953792557,0.918880437
-585.45,0.950089382,0.915169391
-585.3,0.946386208,0.915169391
-585.15,0.946386208,0.911458346
-585,0.942683033,0.907747301
