#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A0F
#Date Time: 2017-10-06 13:14:36.513

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,-0.0089000246462569085,-0.35309590399059232
10.59560179277617,-0.0088089552069338228,-0.3731751257948801
11.226677735108135,-0.0088692140840836448,-0.39487978896045917
11.895340673703183,-0.0089033045730109121,-0.41904041294802852
12.603829296797274,-0.0089806835086279468,-0.44379581876544449
13.354515629298975,-0.0089376780497358293,-0.46942399164064597
14.14991297434576,-0.008857283939279155,-0.49754939463508663
14.992684327860472,-0.0092592684693169423,-0.5277164520115285
15.885651294280528,-0.0091833039090098677,-0.55951680364806222
16.83180353330955,-0.0094993331693491809,-0.59139299422538016
17.834308769319094,-0.0094748711912434717,-0.62699964046310797
18.896523396912116,-0.0097609447468360155,-0.66465021673730718
20.022003718155844,-0.009937618116213737,-0.70311287100353859
21.214517849106279,-0.010306099884988981,-0.74610559967375956
22.478058335487251,-0.010138717967100889,-0.78870934231821699
23.816855519761607,-0.010638109799975487,-0.83782294141891489
25.235391704347659,-0.010692449194742173,-0.88693562064051612
26.738416158399492,-0.010770831415831669,-0.93867748038242205
28.330961018393239,-0.01100123563543717,-0.99450111065615943
30.018358135755861,-0.011362205838795197,-1.0536268289169897
31.806256927941188,-0.011332771208843689,-1.1162530112489613
33.70064329271932,-0.01186641063411341,-1.1823354645965054
35.707859649004625,-0.012013221478213976,-1.2532064978039443
37.83462617131925,-0.012517534815658326,-1.3267720726893018
40.08806328898465,-0.012778062425055603,-1.4049697573713971
42.47571552536894,-0.01317080682707669,-1.4899338178367287
45.005576757004974,-0.013525192035051389,-1.5771418164589903
47.686116977144742,-0.014360112310163761,-1.6716581365935497
50.526310653356795,-0.014762679165357458,-1.7704667400910949
53.535666774107192,-0.015476279618393559,-1.8748318701537698
56.724260684919777,-0.016159176307659312,-1.9854496195225266
60.102767820703875,-0.017021312170328158,-2.1042905456434937
63.682499447185855,-0.017683109890117971,-2.2290316868894706
67.475440531106855,-0.01869847410128879,-2.3609666279819237
71.494289865975759,-0.019628788111252925,-2.5007750446481225
75.752502587719206,-0.02129908982826495,-2.6502596003317933
80.264335222571731,-0.02257958178310869,-2.8058360558350444
85.044893418026859,-0.023787965278151794,-2.9739104208498759
90.110182516650184,-0.025463921708146174,-3.1494158468172202
95.477161142080462,-0.026963849034636399,-3.3357984523518525
101.1637979766207,-0.029330922192047044,-3.5331667859661735
107.18913192051275,-0.031605937338734562,-3.7402714533930492
113.57333583431053,-0.034145657436799842,-3.9637405720309147
120.33778407775881,-0.036986218554607576,-4.1983756981083724
127.50512407130141,-0.040196059905490453,-4.4449568800992836
135.09935211980266,-0.043853700371796284,-4.7074933472505407
143.14589375234786,-0.047588732094031402,-4.9862694084694397
151.67168884709241,-0.051942692240565788,-5.2802617292439891
160.70528182616383,-0.057191317242177284,-5.5922056018254978
170.27691722259013,-0.062413326008126165,-5.9216012089786716
180.41864093920717,-0.068798551202153044,-6.2675469087840554
191.16440753857017,-0.07556284963370366,-6.6363045956451572
202.55019392306664,-0.083431566789733236,-7.0270809908526104
214.61411978584013,-0.091940724988523653,-7.4384603778160727
227.39657523579299,-0.10134841986546558,-7.8741950461002865
240.94035602395243,-0.11171843696115318,-8.334520240107409
255.29080682395164,-0.12356213282727399,-8.8198456192183698
270.49597304631374,-0.13674513277891315,-9.3343244776406777
286.60676169482502,-0.15091694826436766,-9.8766598946145479
303.67711180354604,-0.16758246949207201,-10.44746364841069
321.76417502507354,-0.18591101069638435,-11.051904581319464
340.92850697468111,-0.20589763844936701,-11.687834375864071
361.23426997094305,-0.22864685468029095,-12.360558425372602
382.74944785163069,-0.25353940261284913,-13.063126226501822
405.54607358408316,-0.28187937327090662,-13.810818825436286
429.70047043208393,-0.31267712746014331,-14.593685550067093
455.29350748669475,-0.34750254465722519,-15.413564687963856
482.41087041653736,-0.38594777282667303,-16.2761017790247
511.14334834401654,-0.42845025572672746,-17.182722486707608
541.58713780794767,-0.47574806328748032,-18.130856308245953
573.84416483023927,-0.52828155980422031,-19.126743105173318
608.02242616494209,-0.58581991038057768,-20.164653449200493
644.23635087213711,-0.64982522361241091,-21.247918824155107
682.60718342723794,-0.71956912645657056,-22.380010396356113
723.26338964835406,-0.7976860472658388,-23.556289430848423
766.34108680074542,-0.88250641907519123,-24.781065336242534
811.98449931840082,-0.97616143062022398,-26.048804901264138
860.34644166845089,-1.0784345015033456,-27.35967579646659
911.58882997508192,-1.1898746471618915,-28.715159467271661
965.88322411587092,-1.3117294988559538,-30.111089802346626
1023.4114021054528,-1.444077305447673,-31.547045669641754
1084.3659686896096,-1.5881157362585956,-33.013148183141361
1148.9510001873086,-1.7431077180480248,-34.520497923157301
1217.3827277396595,-1.9105591553106807,-36.055077513588969
1289.8902612533095,-2.0907967161664471,-37.614528531894635
1366.7163564620059,-2.2838178667780702,-39.193128332853377
1448.118227674533,-2.4900556205518667,-40.789410314179761
1534.3684089300132,-2.710363885710029,-42.394287633508895
1625.755666443795,-2.9446268519926591,-44.009213147925408
1722.5859653987875,-3.1919789354615693,-45.62832927024499
1825.1834943190424,-3.452986254258958,-47.23834703616096
1933.8917504552301,-3.7281298903658988,-48.839996944454029
2049.0746898158459,-4.0175431026682276,-50.433797515428573
2171.1179456945051,-4.3194933983216934,-52.006723354621741
2300.4301197729192,-4.6343460005216706,-53.552986920706644
2437.4441501222195,-4.9616253219301445,-55.075227648686038
2582.6187606826747,-5.3014540987589118,-56.567712068432314
2736.4399970746717,-5.6533070056566306,-58.024192067277049
2899.4228538828779,-6.014755382158711,-59.445518396874206
