#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18883
#Date Time: 2017-10-05 00:47:35.205

Frequency (Hz),Channel 1 Magnitude (dB)
1.0000000000000011,-9.2535871076228062
1.0722672220103242,-8.6525297810182593
1.1497569953977367,-8.0555774074814899
1.2328467394420672,-7.4686340708894559
1.3219411484660302,-6.8967212684262691
1.4174741629268064,-6.3355441509035142
1.5199110829529348,-5.7901635750161322
1.6297508346206451,-5.2617985215535477
1.7475284000076847,-4.7514565066741641
1.8738174228603868,-4.2603401058546462
2.0092330025650482,-3.7887783523674279
2.1544346900318869,-3.3471183282262822
2.3101297000831624,-2.9309211316972035
2.4770763559917115,-2.5465972577832794
2.6560877829466896,-2.1895830897356543
2.8480358684358045,-1.8528314307031259
3.0538555088334189,-1.5262385285670721
3.2745491628777317,-1.2070471082903977
3.5111917342151346,-0.89239238201427717
3.7649358067924714,-0.58431134542434726
4.037017258596558,-0.28229213398428055
4.3287612810830618,0.009723233507748669
4.6415888336127828,0.2947379934269137
4.9770235643321135,0.57034026394985404
5.3366992312063122,0.83543052272285978
5.7223676593502262,1.0921642094698405
6.1359072734131761,1.3367806725203477
6.5793322465756816,1.570838311584728
7.054802310718653,1.7938891288601448
7.5646332755462913,2.0026303715288196
8.1113083078968717,2.2001820014675553
8.6974900261778441,2.3826061606086828
9.3260334688322075,2.5484582181308983
10,2.6945138288217114
10.722672220103236,2.8247674907270035
11.497569953977369,2.9379366747582294
12.328467394420672,3.0343182519654981
13.219411484660293,3.1127316750963847
14.174741629268063,3.1775131888161798
15.199110829529346,3.2258373372928526
16.297508346206445,3.2572772467701978
17.475284000076847,3.2664170106362755
18.738174228603857,3.2465422020494024
20.09233002565049,3.2044072145399256
21.544346900318846,3.1375869179645361
23.101297000831615,3.0528090212463193
24.770763559917128,2.9416460087936205
26.560877829466868,2.8089948694861606
28.480358684358034,2.6563938363215889
30.538555088334185,2.4838223349621167
32.745491628777302,2.2953410141898472
35.11191734215133,2.082298207245842
37.649358067924716,1.8521299228537917
40.370172585965555,1.6023152304391646
43.287612810830595,1.341086582357442
46.415888336127821,1.0667007012744008
49.770235643321115,0.78729674497674029
53.366992312063125,0.50399864107919501
57.223676593502198,0.21261665020009204
61.359072734131729,-0.10293134189936418
65.79332246575683,-0.46691432165632879
70.548023107186452,-0.86726838828961839
75.646332755462936,-1.2877105040549512
81.113083078968728,-1.725206454480686
86.974900261778387,-2.1796728908554206
93.260334688322033,-2.6458714483857966
100,-3.1342621850372683
107.22672220103237,-3.6375773990032156
114.97569953977359,-4.1523046980176703
123.28467394420669,-4.6759581516539859
132.19411484660293,-5.2103354170732983
141.7474162926805,-5.7479568852589882
151.99110829529343,-6.2899186351265186
162.97508346206445,-6.8407661138041824
174.75284000076849,-7.3910378758727209
187.38174228603845,-7.9454209424481226
200.92330025650469,-8.5135339182374477
215.44346900318845,-9.0706579327256414
231.01297000831596,-9.6435331720549691
247.7076355991712,-10.214207121646259
265.6087782946687,-10.782855747454539
284.80358684358032,-11.354118838321899
305.38555088334164,-11.929982495853363
327.45491628777279,-12.510018109170868
351.11917342151321,-13.085884343269935
376.4935806792468,-13.671116887915783
403.70172585965565,-14.251589799998731
432.87612810830586,-14.827047039203219
464.15888336127779,-15.416562711548314
497.70235643321121,-16.005011921765643
533.66992312063087,-16.592063940166689
572.23676593502194,-17.183204902994504
613.59072734131723,-17.764390154567167
657.9332246575683,-18.35333976172495
705.48023107186441,-18.936377698348238
756.46332755462879,-19.526125383398018
811.13083078968725,-20.119403236609013
869.74900261778316,-20.711283455173735
932.60334688322018,-21.299394039303337
1000,-21.894970489785397
