#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-10-21 14:17:35.395

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,-3.894797155429214,-21.21880074479019,82.757613793984106
11.233240329780266,-3.8954449981279584,-20.23031640931336,81.903026815789389
12.618568830660211,-3.8951943641694262,-19.232204976319565,80.994393599095332
14.174741629268048,-3.8950242412210718,-18.252785586633561,79.978626561139421
15.922827933410938,-3.8954529330255876,-17.278395901498786,78.826106977368269
17.886495290574352,-3.8957801872644184,-16.323033711304497,77.557586654002677
20.092330025650458,-3.8951576711102636,-15.367738511616377,76.139015620232612
22.570197196339215,-3.8958819787878585,-14.41847635891296,74.575684453968748
25.353644939701113,-3.8952096228751265,-13.491756251002084,72.82579238517188
28.480358684358048,-3.8946866208935988,-12.576911978291321,70.906250963585109
31.992671377973846,-3.8951452694914157,-11.678820617575447,68.796523224120875
35.938136638046252,-3.8944755420302664,-10.816476889090671,66.514271003026209
40.370172585965584,-3.8948991808820215,-9.9731321736909209,64.000842225940886
45.348785081285826,-3.8950994474851868,-9.1680965647207255,61.318248927428911
50.941380148163859,-3.8964465051771975,-8.4010460929904003,58.437612908351653
57.223676593502205,-3.8949852574531505,-7.6801154361410404,55.383975684165875
64.28073117284319,-3.8953189336348575,-7.0057743619369202,52.183995498766819
72.208090183854566,-3.8946432350738074,-6.3866629961676207,48.858924754845177
81.113083078968714,-3.8953505461948494,-5.8194881571714934,45.451924965461714
91.116275611548872,-3.8950103276690524,-5.3110090070030793,41.995787622201945
102.35310218990257,-3.8972464291095807,-4.8603129784869079,38.540917453488404
114.97569953977356,-3.8951131799672623,-4.4678464856667999,35.116571991323653
129.15496650148842,-3.8949015714264714,-4.1289187163353134,31.766622665966239
145.08287784959387,-3.8964072061333033,-3.8378939815560837,28.509740958253701
162.97508346206433,-3.8953064950111389,-3.5942458267533302,25.375626366301731
183.07382802953697,-3.8947856243983363,-3.3918197102667729,22.383435644615091
205.65123083486515,-3.8946621210238881,-3.2248697541832394,19.531980177440389
231.01297000831582,-3.8951506558896725,-3.0876059619004388,16.822974575446779
259.50242113997376,-3.8957303910868459,-2.9779467489362417,14.25016155210173
291.50530628251761,-3.8956065681112961,-2.8904348561763715,11.808822792048495
327.45491628777251,-3.8960762482791194,-2.8238110305282609,9.4665266940016863
367.83797718286343,-3.8954800735917585,-2.7731632382375455,7.225904707671603
413.20124001153425,-3.8954763578717158,-2.7379739359769406,5.0555651344062369
464.15888336127722,-3.8958037133042827,-2.7155985341566851,2.9398489782604713
521.40082879996839,-3.8962052672747567,-2.704520500070652,0.85510637717071347
585.70208180566726,-3.8960537985197434,-2.7077671171348672,-1.2209954600203865
657.93322465756819,-3.8966960222490803,-2.7200684201815402,-3.2990808909300426
739.0722033525775,-3.8954699722097841,-2.7468951917243656,-5.4146309524752354
830.21756813197521,-3.8958390534041589,-2.7863847942497513,-7.5924856710132076
932.60334688321996,-3.8967482574797767,-2.840224159433633,-9.8485910871689839
1047.6157527896642,-3.8965005954574439,-2.9119271656446033,-12.184061272423804
1176.8119524349993,-3.8960046423970054,-3.0046128198449891,-14.634763797271447
1321.9411484660302,-3.8981287234772166,-3.1181351288797208,-17.218240173572354
1484.9682622544651,-3.8970722347774704,-3.2616406315187092,-19.934616368117901
1668.1005372000593,-3.8983315730350192,-3.436144962896603,-22.78674293197156
1873.817422860385,-3.8989254171125181,-3.6458976728085561,-25.784626806736043
2104.9041445120197,-3.9009872786481465,-3.896288549758105,-28.908673612997305
2364.4894126454069,-3.8989045208532511,-4.1968542921283651,-32.152943335682195
2656.0877829466867,-3.8995397125391622,-4.5461728187173902,-35.494738434969705
2983.6472402833406,-3.8995058017661872,-4.9460866602907458,-38.906656704759072
3351.6026509388444,-3.9025890709363829,-5.402293129316277,-42.340175741581987
3764.9358067924677,-3.9018097312107827,-5.919265272162777,-45.757598407306979
4229.2428743894989,-3.9035708267412899,-6.4918165053059793,-49.138540784253678
4750.8101621027981,-3.9078997397264317,-7.1170563655567936,-52.4323344619675
5336.6992312063066,-3.9060062408094272,-7.7925969334710938,-55.581382533286387
5994.8425031894085,-3.9066887258894796,-8.5175584965066236,-58.604517171675539
