#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-10-21 14:21:51.110

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,-3.8712723998245888,-20.469007132082876,85.589323968607928
11.233240329780266,-3.8714634945975717,-19.45773672328507,85.139493077035368
12.618568830660211,-3.8711609101978266,-18.45162050523432,84.600393053171615
14.174741629268048,-3.870644668803402,-17.449983796414475,84.016763277541031
15.922827933410938,-3.8707322234129782,-16.460902769073542,83.336698132490696
17.886495290574352,-3.8711876202973157,-15.463428248707379,82.608394570054074
20.092330025650458,-3.8702642375954728,-14.466525222832335,81.760082862994807
22.570197196339215,-3.871890467212324,-13.47981862318675,80.808535207434034
25.353644939701113,-3.8716547803943819,-12.499057141232816,79.766876474274738
28.480358684358048,-3.8715476401855109,-11.520115160347517,78.599582174327395
31.992671377973846,-3.8717062296446594,-10.550534688119505,77.289259717050783
35.938136638046252,-3.8722219501883344,-9.5845384062848566,75.849418044479535
40.370172585965584,-3.8715147489625106,-8.637174000491731,74.238933106574009
45.348785081285826,-3.8719504503597775,-7.6992394481029693,72.446619979465709
50.941380148163859,-3.8721644906542583,-6.7756499255565847,70.470261549443535
57.223676593502205,-3.8725489805840345,-5.9108635774391338,68.286233707632221
64.28073117284319,-3.8722976332617525,-5.2410354856387906,65.893564853479575
72.208090183854566,-3.8713916175288645,-4.6520516355192738,63.291658271765755
81.113083078968714,-3.8716780042662915,-4.111448541345184,60.469912371175539
91.116275611548872,-3.8730488287947336,-3.6057466560846949,57.425860625527385
102.35310218990257,-3.8714332632197697,-3.1316857997418346,54.173809834896289
114.97569953977356,-3.8712231909423012,-2.6874127027995369,50.733670819002612
129.15496650148842,-3.870884675556439,-2.2693181155909405,47.111753889158514
145.08287784959387,-3.8720520249581285,-1.8839932531012193,43.349005735519896
162.97508346206433,-3.8711379434198689,-1.5345475046781414,39.47715126951249
183.07382802953697,-3.8711665191943982,-1.220451620001473,35.526723907532826
205.65123083486515,-3.8714826799131745,-0.94280776971642777,31.529246998033951
231.01297000831582,-3.8715656499694151,-0.70170949014382944,27.514662276221017
259.50242113997376,-3.870921078201718,-0.50061985145544363,23.513477174366813
291.50530628251761,-3.8708100260042384,-0.33149136407836738,19.53840093535684
327.45491628777251,-3.8711664313631031,-0.1975258805468908,15.605691383659888
367.83797718286343,-3.8717617936203377,-0.093275680295099611,11.712354449471718
413.20124001153425,-3.870958531991358,-0.022616161329217399,7.8568961540470639
464.15888336127722,-3.870202427168735,0.020079679150299422,4.0300219826644934
521.40082879996839,-3.87042847984014,0.035543946579592582,0.2130633156941002
585.70208180566726,-3.8719531807664849,0.022720161640097353,-3.6021650836689618
657.93322465756819,-3.871831854053664,-0.016505284678348133,-7.4356128806516466
739.0722033525775,-3.8717945830193115,-0.086697534938933202,-11.29489046850091
830.21756813197521,-3.8716386013525161,-0.18786139935801874,-15.198529828263375
932.60334688321996,-3.873556127781101,-0.31773535974840583,-19.149331520774012
