#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-11-03 14:18:47.935

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1.0000000000000011,-0.059600993691149538,-0.83867669951133439,-33.99430721971423
1.0722672220103242,-0.057604889304525363,-0.95062331571415859,-36.237490185461752
1.1497569953977367,-0.058096252401767759,-1.0812600418972904,-38.623064782600238
1.2328467394420672,-0.056566172119870008,-1.2288291474672099,-41.126591759969443
1.3219411484660302,-0.057161697938885696,-1.3880731260182924,-43.770188204181693
1.4174741629268064,-0.059317758718097746,-1.5724069583303075,-46.561264164227453
1.5199110829529348,-0.060682113841575742,-1.777941572176587,-49.496673300415381
1.6297508346206451,-0.056137072084404341,-2.0048950860524264,-52.506815582125469
1.7475284000076847,-0.047697048196899211,-2.2582720291389684,-55.646137215430684
1.8738174228603868,-0.050382790291337465,-2.5369574537026485,-58.998359974825291
2.0092330025650482,-0.066978576844277618,-2.8519184764785042,-62.368136006524338
2.1544346900318869,-0.052132064690319183,-3.1930839146088861,-65.836399847455795
2.3101297000831624,-0.062484709563787419,-3.5782572379938857,-69.488007029675458
2.4770763559917115,-0.058565388648838708,-3.9887729491420547,-73.120585955173368
2.6560877829466896,-0.054971348400131674,-4.4572510912812984,-76.897807543090295
2.8480358684358045,-0.057369870611226489,-4.9499376371707804,-80.715421941990556
3.0538555088334189,-0.056096774022966089,-5.4983586338796346,-84.582880156634431
3.2745491628777317,-0.053459054190086737,-6.0786148434875837,-88.534056592026701
3.5111917342151346,-0.05370578026276511,-6.6931199539933246,-92.408455771510262
3.7649358067924714,-0.046970523193792031,-7.346449041760418,-96.327304557621517
4.037017258596558,-0.057181725632035052,-8.0488456643151594,-100.12415172994004
4.3287612810830618,-0.041186813322117072,-8.8052671455673774,-103.88753444628794
4.6415888336127828,-0.055030740327012537,-9.5881213366324243,-107.73623773797058
4.9770235643321135,-0.048443694322687157,-10.429381800598232,-111.2764971161925
5.3366992312063122,-0.053576512959786909,-11.298510664770284,-114.82046167949335
5.7223676593502262,-0.056191905419144109,-12.222039278521624,-118.12414201275482
6.1359072734131761,-0.05344622109464587,-13.130424360763042,-121.56391839573936
6.5793322465756816,-0.051190579712966471,-14.118725540689585,-124.58143955781713
7.054802310718653,-0.055287915011692626,-15.091333012385018,-127.70531335077621
7.5646332755462913,-0.04985117217485048,-16.104148817676268,-130.55780203055804
8.1113083078968717,-0.058477057513691089,-17.124748092843632,-133.42267244387733
8.6974900261778441,-0.051439915653728331,-18.21643479382406,-136.10430153807249
9.3260334688322075,-0.066555703134474981,-19.276414576097597,-138.52869248259523
10,-0.050481116732930972,-20.469740776236311,-140.68374300844141
10.722672220103236,-0.052579445955979021,-21.565601969449904,-143.08220657232184
11.497569953977369,-0.052697800643388207,-22.727904456188277,-145.55657817577767
12.328467394420672,-0.058933737493131244,-23.859512555659808,-147.2248238215542
13.219411484660293,-0.050010101815480226,-25.069069021169224,-148.471452685467
14.174741629268063,-0.059484249818171617,-26.199623826355356,-150.61616556820297
15.199110829529346,-0.060445752306488798,-27.431865224118756,-152.10115381484695
16.297508346206445,-0.05500695401037016,-28.678384907585883,-153.64822774893483
17.475284000076847,-0.053010601104163869,-30.013156489153733,-154.82428121689384
18.738174228603857,-0.057762494187210307,-31.301354426132384,-155.83888503643229
20.09233002565049,-0.052827699394950522,-32.541979381872999,-156.56433632463111
21.544346900318846,-0.056338244406930277,-33.930853790615913,-158.57825163567458
23.101297000831615,-0.052920896654128913,-35.218102526851737,-159.78938887943195
24.770763559917128,-0.048637259055710869,-36.973464786962353,-160.04767347367564
26.560877829466868,-0.049081520995314196,-38.527271362753204,-162.07935668451805
28.480358684358034,-0.054242671834165986,-39.983157794930804,-163.40843820953333
30.538555088334185,-0.054834422155228796,-41.826571016713359,-160.26505945312084
32.745491628777302,-0.05174907676903609,-42.797212574375038,-161.60690825923726
35.11191734215133,-0.050917221964928351,-45.527130615541871,-158.6401643642165
37.649358067924716,-0.05344038382558422,-47.687568580775974,-157.5563157183615
40.370172585965555,-0.04919156248222991,-50.765905757235586,-160.55792055075239
43.287612810830595,-0.05320961127538365,-52.945168643387852,-159.72894591410386
46.415888336127821,-0.051417908097142098,-54.44970784996886,-140.38372129728401
49.770235643321115,-0.052556667018434464,-60.078555708683332,-134.55379886133142
53.366992312063125,-0.048525808326706145,-63.903549702961449,-46.504443620624912
57.223676593502198,-0.047360704970770412,-63.739918325583034,-38.872198873541819
61.359072734131729,-0.052537825073436559,-59.27862387450169,-5.5265145475888175
65.79332246575683,-0.046352179455385306,-58.51568035787178,12.833615961104329
70.548023107186452,-0.050540059600024917,-53.891888342676509,0.50170969163212931
75.646332755462936,-0.053202834915087635,-54.732281717063067,-19.30535597075621
81.113083078968728,-0.053371883482054808,-52.947302262141534,2.432882111836733
86.974900261778387,-0.048891013106027899,-52.854358865496096,6.9114260936313343
93.260334688322033,-0.054642618642391012,-51.362104079660725,-8.4002372536582897
100,-0.04740576667063591,-50.065691369223224,4.6767741772278129
107.22672220103237,-0.050801527538332558,-50.290536101791773,-9.2137940741390523
114.97569953977359,-0.051901203131317936,-50.971551138082816,11.588996292800482
123.28467394420669,-0.048968316178599702,-49.509497386675257,5.6379041000232597
132.19411484660293,-0.049552638927569725,-49.289883514155619,-3.2573874433710017
141.7474162926805,-0.048364104104896596,-48.926956392863474,0.3382342643117795
151.99110829529343,-0.050494110221057591,-49.5473825661524,6.7331442705284985
162.97508346206445,-0.046401301154145355,-48.877117496073396,1.9238490239363841
174.75284000076849,-0.056026734843673015,-50.212345942393981,2.142610876400596
187.38174228603845,-0.050193476749270556,-48.601294063137829,-2.2252988944970298
200.92330025650469,-0.047560332180466541,-49.590673492487113,-3.4433919896450362
215.44346900318845,-0.044299234497140821,-48.409821754643175,3.4827862820992799
231.01297000831596,-0.052678408843765852,-49.246532695452615,7.596806621404383
247.7076355991712,-0.054912269833502676,-47.323034755216035,4.5188539356041701
